Venue,Neighborhood,Type,Music/Vibe,Address/Notes
The Edge / Peak Lounge,Hudson Yards,Rooftop,Skyline / elevated cocktails,Observation deck
The Portrait Bar,Chelsea,Cocktail / Hotel Bar,,"205 10th Ave, 10001"
Marquee,Chelsea,Night Club,EDM,
230 Fifth,Midtown,Rooftop,Skyline,230 5th Ave — heated igloos in winter
Refinery Rooftop,Garment District,Rooftop,IG-friendly,63 W 38th St
Birdland,Theater District,Jazz,Jazz,
Zuma Lounge,Midtown,Lounge / Club,House,Confirm neighborhood
Common Country,Midtown,Night Club,Dancing,
Tara Rose,Midtown,Night Club,Dancing,
Factory 380,Midtown,Night Club,Dancing,
Bella Union,Midtown,Night Club,Dancing,
Clemente Bar,NoMad,Cocktail,,"11 Madison Ave, 10010"
Seed Library,NoMad,Cocktail,,"51 E 30th St, 10016"
Shinji's,Flatiron,Cocktail,,"37 W 20th St, 10011"
Martiny's,Gramercy,Cocktail,,"121 E 17th St, 10003"
Amber Room,NoMad,Night Club,Open format / dancing,
Seville,NoMad,Night Club,Dancing,
Obvio,NoMad,Night Club,DJ,
Barlume,NoMad,Lounge,,Downstairs
Little Sister Lounge,NoMad,Night Club,Open format,Confirm neighborhood
Sip & Guzzle,West Village,Cocktail,,"29 Cornelia St, 10014"
Employees Only,West Village,Cocktail,,"510 Hudson St, 10014"
Katana Kitten,West Village,Cocktail,,"531 Hudson St, 10014"
Angel's Share,West Village,Cocktail / Speakeasy,,"45 Grove St, 10014"
The Garret,West Village,Cocktail,,296 Bleecker St — above Five Guys
Bar Pisellino,West Village,Lounge / Aperitivo,Italian aperitivo,
Entwine,West Village,Wine / Cocktail,,
Art Bar,West Village,Bar,,
Johnny's Bar,West Village,Dive,,
WXOU Radio Bar,West Village,Dive,,
Common Ground Bar,West Village,Bar,,
Bayard's Ale House,West Village,Pub,,
Brass Monkey,Meatpacking,Pub,,
Julius',West Village,Specialty,Historic gay bar,
Pieces Bar,West Village,Specialty,Gay bar,
Greenwich Treehouse,West Village,Bar,,
People's,West Village,Night Club,DJ,
Wilfie and Nell,West Village,Pub,,
Parkgate,West Village,Bar,,
Spaniard,West Village,Pub,,
Galway Hooker,West Village,Pub,Dance-ish,
Village Tavern,West Village,Bar,,
Happiest Hour,West Village,Bar,,
Due West,West Village,Bar,,
Fiddlesticks,West Village,Pub,,
Off The Wagon,Greenwich Village,Dive / Sports Bar,,
Cafe Wha,West Village,Live Music,Live music,
Dante,Greenwich Village,Cocktail,,"79-81 MacDougal St, 10012"
Blue Note,Greenwich Village,Jazz,Jazz,
The Bitter End,Greenwich Village,Live Music,Live music,
Bar Snack,East Village,Cocktail,,"92 2nd Ave, 10003"
Schmuck,East Village,Cocktail,,"97 1st Ave, 10003"
Superbueno,East Village,Cocktail,,"13 1st Ave, 10003"
Death & Co,East Village,Cocktail / Speakeasy,,433 E 6th St
PDT (Please Don't Tell),East Village,Speakeasy,Phone-booth entrance,113 St Marks Pl
Webster Hall,East Village,Club / Live Music,,
McSorley's Old Ale House,East Village,Pub,Historic Irish,15 E 7th St
The Garret (East),East Village,Cocktail,,Near Ave A
Doc Holliday's,East Village,Dive,,
Dream Baby,East Village,Cocktail,,
Madeline's Martini,East Village,Cocktail / Martini Bar,,
Lovers of Today,East Village,Cocktail,,
Sophie's Bar NYC,East Village,Dive,,
7B Horseshoe Bar (Vazacs),East Village,Dive,,
Studio 151,East Village,Bar,,
Ace Bar,East Village,Dive,,
Joyface,East Village,Cocktail,,
Mister Paradise,East Village,Cocktail,,
KGB Bar,East Village,Specialty,Literary bar,
One And One,East Village,Pub,Irish,
Tom and Jerry's Bar,NoHo,Bar,,
The Musket Room,Nolita,Restaurant / Bar,,
Ketchy Shuby,SoHo,Night Club,Dancing,
The Blond,SoHo,Night Club,Open format / dancing,
SoHo Grand (club),SoHo,Night Club,Dancing,
The Palace,SoHo,Night Club,Dancing,
Gospel,SoHo,Night Club,House / tribal,
Paul's Casablanca,SoHo,Night Club,Dancing,
Little Ways,SoHo,Cocktail,,
The Mulberry,SoHo,Bar,DJ,
Beyond the Pale,SoHo,Wine Bar,,
Spring Lounge,SoHo,Dive,,
Vig Bar,SoHo,Lounge,,
SoHo Grand (lobby bar),SoHo,Hotel Bar,,
Double Chicken Please,Lower East Side,Cocktail,,"115 Allen St, 10002"
Attaboy,Lower East Side,Cocktail,No-menu / bespoke,"134 Eldridge St, 10002"
The Back Room,Lower East Side,Speakeasy,,
The Mercury Lounge,Lower East Side,Live Music,Live music,
The Delancey,Lower East Side,Club / Live Music,,
Bar Goto,Lower East Side,Cocktail,,
Kind Regards,Lower East Side,Cocktail,,
Make Believe,Lower East Side,Rooftop,,Sixty LES
Mr. Purple,Lower East Side,Rooftop,,Hotel Indigo
Donnybrook,Lower East Side,Pub,,
Lucky Jack's,Lower East Side,Bar,,
Street & Vicious,Lower East Side,Bar,,
Public Hotel,Lower East Side,Night Club,Art space / Mirari Fridays,
Studio @ Maison Nur,Lower East Side,Night Club,Dancing,
Highlight Room,Lower East Side,Rooftop / Club,Dancing,Above Loosie's
Loosie's,Lower East Side,Night Club,Dancing,
The Box,Lower East Side,Night Club,Dancing,
205 Club,Lower East Side,Night Club,Dancing,
310 Bowery,Lower East Side,Night Club,Dancing,
The Ripple Room,Lower East Side,Lounge,,
Two Doors Down,Lower East Side,Dive,,
82 Stanton,Lower East Side,Dive,,
Ray's,Lower East Side,Dive,,
Overstory,Financial District,Rooftop,,"70 Pine St, 64th Floor, 10005"
The Dead Rabbit,Financial District,Cocktail,Irish,30 Water St
Fraunces Tavern,Financial District,Pub,Colonial / oldest tavern,
Bar Madonna,Williamsburg (Brooklyn),Cocktail,,"367 Metropolitan Ave, 11211"
Maison Premiere,Williamsburg (Brooklyn),Cocktail,Oyster / cocktail,"298 Bedford Ave, 11249"
Harriet's Rooftop,DUMBO (Brooklyn),Rooftop,Manhattan views,1 Hotel Brooklyn Bridge
House of Yes,Bushwick (Brooklyn),Night Club,Immersive / themed,
